year,leaid,lea_name,fips,state_leaid,street_mailing,city_mailing,state_mailing,zip_mailing,zip4_mailing,street_location,city_location,state_location,zip_location,zip4_location,phone,latitude,longitude,urban_centric_locale,cbsa,cbsa_type,csa,cmsa,necta,county_code,county_name,congress_district_id,bureau_indian_education,supervisory_union_number,agency_type,agency_level,boundary_change_indicator,agency_charter_indicator,lowest_grade_offered,highest_grade_offered,number_of_schools,enrollment,spec_ed_students,english_language_learners,migrant_students,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_fte,instructional_aides_fte,coordinators_fte,guidance_counselors_elem_fte,guidance_counselors_sec_fte,guidance_counselors_other_fte,guidance_counselors_total_fte,librarian_specialists_fte,librarian_support_staff_fte,lea_administrators_fte,lea_admin_support_staff_fte,school_administrators_fte,school_admin_support_staff_fte,support_staff_students_fte,support_staff_other_fte,staff_total_fte,lea_staff_total_fte,other_staff_fte,school_staff_total_fte,school_counselors_fte,state_leg_district_lower,state_leg_district_upper,school_psychologists_fte,support_staff_stu_wo_psych_fte
2023,0500001,DEWITT SCHOOL DISTRICT,5,AR-0101000,422 W FIRST,DEWITT,AR,72042,00,422 W FIRST,DEWITT,AR,72042,00,(870)946-3576,34.271856,-91.350412,43,-2,-2,-2,NA,NA,5001,Arkansas County,501,NA,,1,4,1,NA,0,12,3,1111,NA,NA,NA,2,4,45,32,8,93,22,4,1,2,NA,3,2,0,3,6,4,20,22,14,194,13,14,70,NA,05061,05010,0,22
2023,0500002,SAU-TECH CAREER CENTER,5,AR-5222000,327 STEWART ST SW,CAMDEN,AR,71701,00,327 STEWART ST SW,CAMDEN,AR,71701,00,(870)836-9367,33.632214,-92.718252,42,15780,2,-2,NA,NA,5013,Calhoun County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05096,05002,NA,NA
2023,0500005,OZARKS UNLITD. RESOURCE COOP,5,AR-0520000,P O BOX 610,VALLEY SPRINGS,AR,72682,00,5823 RESOURCE DR,VALLEY SPRINGS,AR,72682,00,(870)743-9100,36.177244,-93.017103,41,25460,2,-2,NA,NA,5009,Boone County,501,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,40,6,0,0,NA,0,0,0,3,8,0,0,3,8,68,17,8,43,NA,05005,05023,2,1
2023,0500006,WARREN SCHOOL DISTRICT,5,AR-0602000,P O BOX 1210,WARREN,AR,71671,00,408 CHERRY,WARREN,AR,71671,00,(870)226-6738,33.618417,-92.068285,33,-2,-2,-2,NA,NA,5011,Bradley County,504,NA,,1,4,1,NA,0,12,5,1419,NA,NA,NA,0,5,53,42,8,109,26,7,2,4,NA,6,4,0,2,6,7,16,43,16,244,15,16.5,96.92,NA,05094,05001,0,43.42
2023,0500008,DAWSON EDUCATION SERVICE COOP,5,AR-1020000,711 CLINTON,ARKADELPHIA,AR,71923,00,711 CLINTON,ARKADELPHIA,AR,71923,00,(870)246-3077,34.120178,-93.055375,32,11660,2,-2,NA,NA,5019,Clark County,504,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,80,238,0,0,NA,0,0,0,4,32,0,0,3,4,361,274,4,83,NA,05090,05003,0,3
2023,0500009,CORNING SCHOOL DISTRICT,5,AR-1101000,P O BOX 479,CORNING,AR,72422,00,479 BOBCAT LN,CORNING,AR,72422,00,(870)857-6818,36.419184,-90.580056,43,-2,-2,-2,NA,NA,5021,Clay County,501,NA,,1,4,1,NA,0,12,3,794,NA,NA,NA,0,3,29,46,3,83,13,1,1,2,NA,3,2,0,2,4,3,9,11,18,149,7,18,38,NA,05001,05021,0,11
2023,0500011,ARCH FORD EDUC. SERVICE COOP,5,AR-1520000,101 BULLDOG DR,PLUMERVILLE,AR,72127,00,101 BULLDOG DR,PLUMERVILLE,AR,72127,00,(501)354-2269,35.159428,-92.650335,42,-2,-2,-2,NA,NA,5029,Conway County,502,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,2,26,0,0,NA,0,0,0,11,33,0,0,9,3,84,70,3,11,NA,05043,05025,0,9
2023,0500012,RIVERSIDE SCHOOL DISTRICT,5,AR-1613000,P O BOX 178,LAKE CITY,AR,72437,00,601 CATFISH DR,LAKE CITY,AR,72437,00,(870)237-4329,35.82161,-90.453252,42,27860,1,308,NA,NA,5031,Craighead County,501,NA,,1,4,1,NA,0,12,3,735,NA,NA,NA,3,3,29,24,6,67,10,3,1,1,NA,2,1,0,2,5,4,8,12,20,134,10,20,35.5,NA,05033,05019,0,12
2023,0500013,SOUTHEAST ARK. EDUC. COOP,5,AR-2220000,1022 SCOGIN,MONTICELLO,AR,71655,00,1022 SCOGIN DR,MONTICELLO,AR,71655,00,(870)367-6848,33.60729,-91.815841,41,-2,-2,-2,NA,NA,5043,Drew County,504,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,85,37,0,0,NA,0,0,1,6,24,0,0,39,5,197,67,5,125,NA,05094,05001,0,39
2023,0500014,WESTERN ARKANSAS COOP,5,AR-2420000,3010 E HWY 22,BRANCH,AR,72928,00,3010 E HWY 22,BRANCH,AR,72928,00,(479)965-2191,35.306865,-93.919966,42,-2,-2,-2,NA,NA,5047,Franklin County,504,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,15,3,0,0,NA,0,0,0,8,25,0,0,15,0,66,36,0,30,NA,05046,05026,1,14
2023,0500015,SHERIDAN SCHOOL DISTRICT,5,AR-2705000,400 N ROCK,SHERIDAN,AR,72150,00,400 N ROCK,SHERIDAN,AR,72150,00,(870)942-3135,34.309939,-92.398572,32,30780,1,340,NA,NA,5053,Grant County,504,NA,,1,4,1,NA,-1,12,7,4321,NA,NA,NA,4,18,135,113,25,297,67,9,4,6,NA,10,7,0,7,25,17,16,23,53,532,41,53,130.5,NA,05092,05002,1,22
2023,0500016,MARMADUKE SCHOOL DISTRICT,5,AR-2803000,1010 GREYHOUND DR,MARMADUKE,AR,72443,00,1010 GREYHOUND DR,MARMADUKE,AR,72443,00,(870)597-2723,36.193398,-90.394573,42,37500,2,308,NA,NA,5055,Greene County,501,NA,,1,4,1,NA,0,12,2,588,NA,NA,NA,1,3,23,58,4,90,23,3,1,1,NA,2,2,0,2,4,2,5,17,32,182,9,32,49,NA,05001,05021,0,17
2023,0500017,PARAGOULD SCHOOL DISTRICT,5,AR-2808000,1501 W COURT ST,PARAGOULD,AR,72450,00,1501 W COURT ST,PARAGOULD,AR,72450,00,(870)239-2105,36.056965,-90.50541,32,37500,2,308,NA,NA,5055,Greene County,501,NA,,1,4,1,NA,-1,12,7,3163,NA,NA,NA,12,15,99,88,23,239,123,6,5,4,NA,9,7,1,7,13,13,26,79,117,641,26,117,249.5,NA,05031,05021,2,77
2023,0500018,SOUTHWEST ARK. COOP,5,AR-2920000,2502 S Main Street,HOPE,AR,71801,00,2502 S Main Street,HOPE,AR,71801,00,(870)777-3076,33.639886,-93.596985,32,-2,-2,-2,NA,NA,5057,Hempstead County,504,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,9,19,0,0,NA,0,0,0,2,24,0,0,8,0,62,45,0,17,NA,05088,05003,4,4
2023,0500019,BATESVILLE SCHOOL DISTRICT,5,AR-3201000,955 WATER ST,BATESVILLE,AR,72501,00,955 WATER ST,BATESVILLE,AR,72501,00,(870)793-6831,35.776238,-91.64655,41,12900,2,-2,NA,NA,5063,Independence County,501,NA,,1,4,1,NA,-1,12,5,3487,NA,NA,NA,0,14,108,92,14,230,172,12,4,5,NA,9,3,1,5,18,14,25,41,115,647,35,115.5,256.92,NA,05040,05022,1,40.42
2023,0500020,MIDLAND SCHOOL DISTRICT,5,AR-3211000,P O BOX 630,PLEASANT PLAINS,AR,72568,00,7249 BATESVILLE BLVD,PLEASANT PLAINS,AR,72568,00,(501)345-8844,35.547101,-91.624886,43,12900,2,-2,NA,NA,5063,Independence County,501,NA,,1,4,1,NA,0,12,2,455,NA,NA,NA,2,2,20,43,2,70,22,2,1,1,NA,2,1,0,1,4,3,4,8,14,131,7,14,38.1,NA,05040,05022,0,8
2023,0500021,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,5,AR-3306000,P O BOX 115,BROCKWELL,AR,72517,00,5068 N AR 9,BROCKWELL,AR,72517,00,(870)258-7700,36.155053,-91.923698,43,-2,-2,-2,NA,NA,5065,Izard County,501,NA,,1,4,1,NA,0,12,3,605,NA,NA,NA,0,4,22,28,2,58,12,0,0,1,NA,1,1,0,2,2,3,3,9,13,107,5,13,29.38,NA,05027,05023,0,9
2023,0500022,NORTH CENTRAL ARK. EDUC COOP,5,AR-3320000,P O BOX 739,MELBOURNE,AR,72556,00,1013 HALEY ST,MELBOURNE,AR,72556,00,(870)368-7955,36.055816,-91.895611,43,-2,-2,-2,NA,NA,5065,Izard County,501,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,0,18,0,0,NA,0,0,0,2,8,0,0,9,3,41,29,3,9.25,NA,05027,05023,0,9.25
2023,0500023,NEWPORT SCHOOL DISTRICT,5,AR-3403000,406 WILKERSON DR,NEWPORT,AR,72112,00,406 WILKERSON DR,NEWPORT,AR,72112,00,(870)523-1312,35.599925,-91.272875,41,-2,-2,-2,NA,NA,5067,Jackson County,501,NA,,1,4,1,NA,-1,12,2,1239,NA,NA,NA,5,6,52,51,6,122,34,6,2,2,NA,4,1,0,2,7,4,7,6,8,201,15,8,52,NA,05039,05010,0,6
2023,0500024,ARK. RIVER EDUC  SERVICE COOP,5,AR-3520000,912 W SIXTH AVE,PINE BLUFF,AR,71601,00,912 W SIXTH AVE,PINE BLUFF,AR,71601,00,(870)534-6129,34.223346,-92.011788,32,38220,2,340,NA,NA,5069,Jefferson County,504,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,40,20,0,0,NA,0,0,0,3,17,0,0,4,8,92,40,8,44,NA,05065,05008,0,4
2023,0500025,ARKANSAS CORRECTIONAL SCHOOLS,5,AR-3599000,8000 CORRECTION CIR,PINE BLUFF,AR,71603,00,8000 CORRECTION CIR,PINE BLUFF,AR,71603,00,(870)267-6725,34.218872,-92.083329,32,38220,2,340,NA,NA,5069,Jefferson County,504,NA,,5,3,1,NA,9,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05065,05008,NA,NA
2023,0500026,PINE BLUFF SCHOOL DISTRICT,5,AR-3505000,512 S PINE ST,PINE BLUFF,AR,71601,00,512 S PINE ST,PINE BLUFF,AR,71601,00,(870)543-4200,34.230989,-92.016428,32,38220,2,340,NA,NA,5069,Jefferson County,504,NA,,1,4,1,NA,-1,12,7,3133,NA,NA,NA,13,11,100,91,24,241,80,5,4,5,NA,9,9,1,9,28,17,31,44,114,589,42,114.5,182.27,NA,05065,05008,0,44.27
2023,0500027,NORTHEAST ARK. EDUC. COOP,5,AR-3820000,211 W HICKORY,WALNUT RIDGE,AR,72476,00,211 W HICKORY,WALNUT RIDGE,AR,72476,00,(870)886-7717,36.063991,-90.965065,32,-2,-2,-2,NA,NA,5075,Lawrence County,501,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,29,17,0,0,NA,0,0,0,2,7,0,0,7,3,65,26,3,36,NA,05030,05021,1,6
2023,0500028,STAR CITY SCHOOL DISTRICT,5,AR-4003000,206 CLEVELAND ST,STAR CITY,AR,71667,00,206 CLEVELAND ST,STAR CITY,AR,71667,00,(870)628-4237,33.94282,-91.838887,43,-2,-2,-2,NA,NA,5079,Lincoln County,501,NA,,1,4,1,NA,0,12,3,1384,NA,NA,NA,2,5,51,33,8,100,37,3,2,2,NA,4,3,0,2,10,6,10,15,17,209,15,17,72.15,NA,05093,05001,0,15.75
2023,0500029,GOSNELL SCHOOL DISTRICT,5,AR-4708000,600 HWY 181 N,GOSNELL,AR,72315,00,600 HWY 181,GOSNELL,AR,72315,00,(870)532-4000,35.961638,-89.965484,33,14180,2,-2,NA,NA,5093,Mississippi County,501,NA,,1,4,1,NA,0,12,2,1188,NA,NA,NA,0,5,41,41,9,99,11,1,2,2,NA,4,2,0,4,7,6,5,17,51,207,12,51.5,41,NA,05034,05019,1,16
2023,0500030,NEVADA SCHOOL DISTRICT,5,AR-5008000,P O BOX 50,ROSSTON,AR,71858,00,6580 US HWY 278,ROSSTON,AR,71858,00,(870)871-2418,33.591551,-93.295782,43,-2,-2,-2,NA,NA,5099,Nevada County,504,NA,,1,4,1,NA,0,12,2,433,NA,NA,NA,0,2,20,27,1,52,9,3,1,1,NA,2,1,0,1,4,2,4,6,17,102,8,17.5,22.15,NA,05089,05003,0,6
2023,0500031,SOUTH CENTRAL SERVICE COOP,5,AR-5220000,400 MAUL RD,CAMDEN,AR,71701,00,400 MAUL RD,CAMDEN,AR,71701,00,(870)836-2213,33.543721,-92.881113,41,15780,2,-2,NA,NA,5103,Ouachita County,504,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,4,8,0,0,NA,0,0,0,4,5,0,0,20,12,54,17,12,24.31,NA,05098,05002,0,20
2023,0500032,BEARDEN SCHOOL DISTRICT,5,AR-5201000,P O BOX 195,BEARDEN,AR,71720,00,100 OAK AVE,BEARDEN,AR,71720,00,(870)687-2236,33.727593,-92.619923,43,15780,2,-2,NA,NA,5103,Ouachita County,504,NA,,1,4,1,NA,0,12,2,458,NA,NA,NA,0,2,20,21,2,46,7,2,1,1,NA,2,1,0,2,5,3,4,8,18,98,9,18,23.44,NA,05096,05002,0,8.44
