"districtlea","district_name","county_name","shortage_status","retention_prepandemic_pct","retention_recent_pct","retention_change_pp"
"0101000","DeWitt School District","Arkansas County","Shortage",85.7,86.1,0.5
"0104000","Stuttgart School District","Arkansas County","Shortage",77.8,75.1,-2.7
"0201000","Crossett School District","Ashley County","Shortage",78.6,78.1,-0.4
"0203000","Hamburg School District","Ashley County","Shortage",81.6,89,7.4
"0302000","Cotter School District","Baxter County","Not Shortage",86.7,87,0.2
"0303000","Mountain Home School District","Baxter County","Not Shortage",88.9,89.3,0.4
"0304000","Norfork Schools","Baxter County","Not Shortage",86.6,81.4,-5.3
"0401000","Bentonville Public Schools","Benton County","Not Shortage",88.9,87.3,-1.6
"0402000","Decatur School District","Benton County","Not Shortage",73.9,74.7,0.7
"0403000","Gentry Public Schools","Benton County","Not Shortage",89,79.4,-9.7
"0404000","Gravette School District","Benton County","Not Shortage",87.2,82.5,-4.7
"0405000","Rogers Public Schools","Benton County","Not Shortage",89.3,85,-4.3
"0406000","Siloam Springs Schools","Benton County","Not Shortage",83.9,76,-7.9
"0407000","Pea Ridge School District","Benton County","Shortage",83.2,70.5,-12.7
"0501000","Alpena School District","Boone County","Not Shortage",80.5,83.8,3.4
"0502000","Bergman School District","Boone County","Not Shortage",87.8,88.3,0.5
"0503000","Harrison School District","Boone County","Not Shortage",87.4,83.8,-3.5
"0504000","Omaha School District","Boone County","Shortage",82,75.3,-6.8
"0505000","Valley Springs School District","Boone County","Not Shortage",86.8,86.6,-0.2
"0506000","Lead Hill School District","Boone County","Shortage",75.1,84.9,9.8
"0601000","Hermitage School District","Bradley County","Shortage",71.7,66,-5.7
"0602000","Warren School District","Bradley County","Shortage",81.4,76.9,-4.5
"0701000","Hampton School District","Calhoun County","Shortage",78.6,81.6,2.9
"0801000","Berryville Public Schools","Carroll County","Not Shortage",83.6,77.7,-6
"0802000","Eureka Springs School District","Carroll County","Not Shortage",84.9,83.5,-1.3
"0803000","Green Forest School District","Carroll County","Not Shortage",87.1,82.1,-5
"0901000","Dermott School District","Chicot County","Shortage",66.4,77.4,11.1
"0903000","Lakeside School District","Chicot County","Shortage",75.1,81.8,6.7
