lea,district_name,pct_need,shortage
6091000,Ark. School for the Blind,24.9,1
6092000,Ark. School for the Deaf,25.3,1
7401000,Augusta School District,38.4,1
5401000,Barton School District,21.2,1
2901000,Blevins School District,26.7,1
4702000,Blytheville School District,53.0,1
4801000,Brinkley School District,48.9,1
5204000,Camden Fairview School District,32.5,1
3212000,Cedar Ridge School District,23.2,1
4802000,Clarendon School District,45.0,1
1305000,Cleveland County School District,15.0,1
1901000,Cross County School District,24.9,1
0201000,Crossett School District,28.6,1
5106000,Deer/Mt. Judea School District,20.4,1
0901000,Dermott School District,42.2,1
0101000,Dewitt School District,21.7,1
2202000,Drew Central School District,24.0,1
2104000,Dumas School District,47.5,1
1802000,Earle School District,25.5,1
7001000,El Dorado School District,21.2,1
2002000,Fordyce School District,32.0,1
4102000,Foreman School District,20.7,1
6201000,Forrest City School District,42.8,1
4603000,Fouke School District,15.4,1
4602000,Genoa Central School District,11.0,1
0203000,Hamburg School District,11.9,1
0701000,Hampton School District,22.7,1
5403000,Helena/West Helena School District,36.5,1
0601000,Hermitage School District,29.2,1
2903000,Hope School District,20.5,1
2603000,Hot Springs School District,22.8,1
3306000,Izard County Consolidated School District,21.3,1
6004000,Jacksonville North Pulaski School District,22.8,1
7003000,Junction City School District,21.5,1
5440700,Kipp Delta Public Schools,76.1,1
3704000,Lafayette County School District,27.0,1
0903000,Lakeside School District (Chicot),20.8,1
0506000,Lead Hill School District,24.5,1
3904000,Lee County School District,63.6,1
4202000,Magazine School District,23.9,1
1804000,Marion School District,27.3,1
5604000,Marked Tree School District,29.6,1
5404000,Marvell-Elaine School District,59.3,1
6102000,Maynard School District,27.7,1
2105000,McGehee School District,15.1,1
3211000,Midland School District,21.2,1
2203000,Monticello School District,11.4,1
2607000,Mountain Pine School District,23.0,1
1703000,Mountainburg School District,24.3,1
5008000,Nevada School District,2.5,1
6002000,North Little Rock School District,21.0,1
0504000,Omaha School District,24.8,1
4713000,Osceola School District,59.7,1
6205000,Palestine-Wheatley School District,14.2,1
0407000,Pea Ridge School District,30.4,1
3505000,Pine Bluff School District,34.5,1
5006000,Prescott School District,14.3,1
1106000,Rector School District,30.9,1
2906000,Spring Hill School District,7.0,1
4003000,Star City School District,15.7,1
7009000,Strong-Huttig School District,39.4,1
0104000,Stuttgart School District,20.4,1
4605000,Texarkana School District,28.1,1
5605000,Trumann School District,22.0,1
0602000,Warren School District,24.9,1
3509000,Watson Chapel School District,40.4,1
1803000,West Memphis School District,18.1,1
1304000,Woodlawn School District,17.1,1
1701000,Alma School District,15.2,0
4701000,Armorel School District,17.7,0
3201000,Batesville School District,19.5,0
6301000,Bauxite School District,15.7,0
5201000,Bearden School District,17.9,0
0801000,Berryville School District,16.6,0
2403000,County Line School District,18.9,0
0403000,Gentry School District,17.6,0
1003000,Gurdon School District,16.5,0
5602000,Harrisburg School District,19.4,0
3804000,Hoxie School District,16.7,0
3104000,Mineral Springs School District,17.7,0
3005000,Ouachita School District,15.1,0
6505000,Ozark Mountain School District,18.0,0
2404000,Ozark School District,15.1,0
1104000,Piggott School District,15.6,0
6003000,Pulaski County Special School District,17.9,0
7307000,Riverview School District,15.3,0
7104000,Shirley School District,17.3,0
0406000,Siloam Springs School District,18.0,0
3209000,Southside School District (Independence),18.8,0
0501000,Alpena School District,0.0,0
1002000,Arkadelphia School District,9.7,0
4101000,Ashdown School District,10.2,0
5801000,Atkins School District,7.4,0
7301000,Bald Knob School District,9.4,0
1601000,Bay School District,10.8,0
7302000,Beebe School District,10.2,0
6302000,Benton School District,5.3,0
0401000,Bentonville School District,4.7,0
0502000,Bergman School District,8.4,0
3001000,Bismarck School District,8.0,0
4201000,Booneville School District,10.7,0
7303000,Bradford School District,13.0,0
1603000,Brookland School District,1.5,0
6303000,Bryant School District,5.3,0
1605000,Buffalo Island Central School District,6.9,0
4304000,Cabot School District,9.7,0
4901000,Caddo Hills School District,10.0,0
3301000,Calico Rock School District,0.1,0
4303000,Carlisle School District,1.2,0
6802000,Cave City School District,0.8,0
1702000,Cedarville School District,7.8,0
5502000,Centerpoint School District,12.5,0
2402000,Charleston School District,13.9,0
3601000,Clarksville School District,8.9,0
7102000,Clinton School District,3.4,0
1201000,Concord School District,5.4,0
2301000,Conway School District,3.3,0
1101000,Corning School District,10.6,0
5707000,Cossatot River School District,6.1,0
0302000,Cotter School District,0.1,0
2601000,Cutter-Morning Star School District,11.2,0
7503000,Danville School District,14.4,0
7504000,Dardanelle School District,6.3,0
0402000,Decatur School District,13.8,0
6701000,DeQueen School District,6.7,0
5901000,Des Arc School District,6.1,0
3102000,Dierks School District,10.8,0
6094000,Division of Youth Services School System,1.8,0
5802000,Dover School District,2.0,0
5301000,East End School District,6.7,0
5608000,East Poinsett County School District,6.4,0
7201000,Elkins School District,5.0,0
1408000,Emerson-Taylor-Bradley School District,6.5,0
4302000,England School District,9.8,0
0802000,Eureka Springs School District,14.5,0
7202000,Farmington School District,9.9,0
7203000,Fayetteville School District,11.3,0
4501000,Flippin School District,4.1,0
6601000,Fort Smith School District,7.6,0
2602000,Fountain Lake School District,11.7,0
3002000,Glen Rose School District,10.2,0
4708000,Gosnell School District,4.2,0
0404000,Gravette School District,5.1,0
0803000,Green Forest School District,5.0,0
2303000,Greenbrier School District,7.9,0
2807000,Greene County Tech School District,4.5,0
7204000,Greenland School District,8.8,0
6602000,Greenwood School District,7.8,0
2304000,Guy-Perkins School District,6.9,0
6603000,Hackett School District,7.5,0
6304000,Harmony Grove School District (Saline),0.0,0
5205000,Harmony Grove School District (Ouachita),12.9,0
0503000,Harrison School District,7.8,0
5903000,Hazen School District,4.9,0
1202000,Heber Springs School District,10.9,0
5803000,Hector School District,8.9,0
6804000,Highland School District,13.8,0
3809000,Hillcrest School District,7.4,0
6703000,Horatio School District,11.9,0
4401000,Huntsville School District,13.5,0
3405000,Jackson County School District,7.3,0
5102000,Jasper School District,8.5,0
2604000,Jessieville School District,11.8,0
1608000,Jonesboro School District,6.1,0
5503000,Kirby School District,0.0,0
2605000,Lake Hamilton School District,3.1,0
2606000,Lakeside School District (Garland),8.3,0
3604000,Lamar School District,8.2,0
6605000,Lavaca School District,5.8,0
3810000,Lawrence County School District,0.3,0
7205000,Lincoln School District,13.4,0
6001000,Little Rock School District,13.1,0
4301000,Lonoke School District,7.6,0
3003000,Magnet Cove School District,9.4,0
1402000,Magnolia School District,13.1,0
